#;Tipo;Situação;Título;Tempo estimado;Tempo gasto;Atribuído para;Categoria;Prioridade;Tarefas relacionadas
23152;DSV;To Do - Ready;CRUD 'BillingDocumentWireTransferBuilderConfiguration' ;4,00;0;"";"";Urgente;bloqueado por #23151
23151;DSV;To Do - Ready;CRUD BillingDocumentBuilderConfiguration;4,00;0;"";"";Urgente;relacionado a #23153, bloqueado por #23149, bloqueia #23152, bloqueia #23159
23149;DSV;To Do - Ready;Criar/Ajustar Entidades, DTOs, Mapper e liquibase;5,00;0;"";"";Urgente;bloqueia #23151, bloqueia #23154, bloqueia #23155, bloqueia #23166, copiado #23148
23148;DSV;To Do - Ready;[GERAL - LAYOUT] Adicionar popover nas diretivas de exibicao de status ;8,00;0;"";"";Média;copiado #23147, copiada #23149
23147;DSV;To Do - Ready;[GERAL - LAYOUT] Criar componente de roadmap das entidades (ServiceInstance, Invoice, BillingDocument) ;8,00;0;"";"";Média;copiado #23146, copiada #23148
23146;DSV;To Test;Rever permanencia da mensagem de erro na tela ;2,00;0,50;Pedro  Rafael;"";Urgente;copiado #23144, copiada #23147
23144;DSV;To Test;Melhorar formatacao das mensagem da regra de compatibilidade ;1,00;0,50;Pedro  Rafael;"";Imediata;copiado #23143, copiada #23146
23143;DSV;To Test;[Invoice] Incluir Tipo de Execucao na Regra de compatibilidade de Eventos ;2,00;1,00;Pedro  Rafael;"";Imediata;copiado #23142, copiada #23144
23142;DSV;To Test;Na tela de Invoice exibir valores estimado e real (atualmente exibe apenas estimado);1,00;1,50;Pedro  Rafael;"";Urgente;copiado #23141, copiada #23143
23141;DSV;To Test;Evento PosPago/Sem Solicitacao nao guarda valor real;2,00;1,00;Pedro  Rafael;"";Imediata;copiado #23140, copiada #23142
23140;DSV;To Test;Email proforma (usar o valor real);1,00;0,50;Pedro  Rafael;"";Imediata;copiado #23138, copiada #23141
23138;DSV;To Test;[Invoice] Adicionar o status do evento na tela de edicao da invoice ;1,00;1,00;Pedro  Rafael;"";Urgente;copiado #23137, copiada #23140
23137;DSV;To Test;[ServiceInstance] Controlar exibicao do botao remover ;1,00;1,00;Pedro  Rafael;"";Urgente;copiado #23136, copiada #23138
23136;DSV;To Test;Bug: Liberar evento ao liberar doc cob quando a invoice teve um event service incluido/excluido ;2,00;1,00;Pedro  Rafael;"";Imediata;copiado #23135, copiada #23137
23135;DSV;Done;Rever mensagens de acoes na tela de Invoice (ex.: billingDocument.created) ;1,00;0,60;Pedro  Rafael;"";Imediata;copiado #23134, copiada #23136
23134;DSV;Done;Remocao de Status Duplicados na tela de fatura ;1,00;0,60;Pedro  Rafael;"";Imediata;copiado #23133, copiada #23135
23133;DSV;To Test;Ordenacao de Listas (fazer uma revisao no sistema);"";0;Guilherme Melo;"";Imediata;copiado #23132, copiada #23134
23132;DSV;Done;Pagina Inicial - Ajustar Imagem;1,00;1,30;Pedro  Rafael;"";Imediata;copiado #23070, copiada #23133
23128;DSV;To Test;"[ServiceType] Rever obrigatoriedade do campo ""tipo"" de variavel";1,00;0,50;Guilherme Melo;"";Normal;""
23127;DSV;To Do - Ready;[ServiceType] Implementar regra nos nomes dos campos data, cdata e paramContract;2,00;0;"";"";Normal;""
23126;DSV;To Test;[ClientContract] Exibir status (Ativoi/Inativo) dos contratos na lista de contratos;1,00;0;Guilherme Melo;"";Baixa;""
23125;DSV;To Test;[SERVICE_INSTANCE] Permitir somente criação de evento para contrato ativo;3,00;0,97;Guilherme Melo;"";Normal;copiado #22934
23085;DSV;Done;[ERRO] - [DocCob] Gerar email Proforma Invoice;12,00;0,50;Pedro  Rafael;"";Imediata;copiado #22953
23075;DSV;Done;[ERRO] - [DocCob] Cancelar Doc Cob;5,00;1,90;Pedro  Rafael;"";Imediata;copiado #22918
23070;DSV;Rejeitada;[ERRO] - [Contract, ContractItemPayment, ServiceInstance, Invoice] - Incluir campo 'emissao doc cob automatico' <<ver detalhes>>;1,00;0;Pedro  Rafael;"";Imediata;copiado #22911, copiada #23132
23068;DSV;Done;[ERRO] - [ServiceInstance] Implementar funcionalidade 'Registrar Execução Manual de ServiceInstance' <<Ver detalhes>>;8,00;4,70;Pedro  Rafael;"";Alta;copiado #22910
23013;DSV;To Do - Ready;Incluir constrainst liquibase para nao permitir remover uma Invoice que tenha um ServiceInstance associado;1,00;0;"";"";Baixa;""
23012;DSV;To Do - Ready;Renomear e alterar tipo do atributo payDay para paymentDay;2,00;0;Guilherme Melo;"";Baixa;""
23011;DSV;To Do - Ready;Renomear PaymentMethod para BillingDocumentType;3,00;0;"";"";Baixa;""
22991;ANA;To Do - Ready;Análise e especificação da geração da NF de Serviço;"";6,50;Anderson Tavares;"";Normal;copiado #22983
22983;ANA;To Do - Ready;Mapeamento da integração da NF de Serviço com o EBS;"";0;Carlos Magno;"";Normal;copiada #22991
22954;DSV;Waiting for fixing;[DocCob] Manter Files do DocCob;8,00;17,20;Pedro  Rafael;"";Média;copiado #22921, copiada #23187
22949;DSV;To Do - Ready;[ServiceInstance] Ajustar a busca de Contratos no registro manual de ServiceInstance;"";0;"";"";Baixa;""
22943;DSV;Waiting for fixing;[BILLING_RULE] Manter versionamento ao salvar ou atualizar o registro;"";0,10;Guilherme Melo;"";Baixa;copiado #22942, copiada #23188
22942;DSV;Waiting for fixing;[INVOICE] Manter versionamento ao salvar ou atualizar o registro;"";0;Guilherme Melo;"";Baixa;copiado #22941, copiada #22943
22933;DSV;Waiting for fixing;[CONTRACT] Implementar ativar e desativar registro;1,00;6,20;Guilherme Melo;"";Baixa;copiado #22932, copiada #22934, copiada #23081
22790;DSV;To Do - Ready;[Invoice] Implemetar botao 'Configurar Colunas' em cada tabela de Tipo de Serviço;5,00;0;"";"";Baixa;copiada #22908, copiada #22925
